Slide #,Slide Title / Description,Core Message / Theme,Key Talking Points,Suggested Questions to Engage Prospect
11,Waterfront / Rooftop / Lobby Level Amenities,Three distinct amenity zones — every hour of the day is covered,"WATERFRONT AMENITIES: Infinity pool with cabanas & loungers | Private beach-inspired waterfront | Private dock & boat slips* | Watersports | Poolside F&B by Mandarin Oriental. ROOFTOP AMENITIES: Rooftop pool with water daybeds & cabanas | Rooftop wellness centre | Rooftop fitness centre | Rooftop service bar. LOBBY LEVEL AMENITIES: Indoor golf & multi-sport simulator | Private screening room (up to 12 guests) | Expansive social lounge with chef's kitchen | Games lounge (pool table, card table) | Dedicated kids club | Garden terrace lounge & meditation space | Outdoor pavilions with grilling stations | Pet grooming spa | Two private house cars | 24-hour valet | Private storage lockers. Say: 'Most luxury buildings have one or two amenity highlights. Here you have three completely distinct zones — waterfront, rooftop, and lobby level — each with its own programming.'","Which of these amenities would you use most? Do you have a boat or plan to?"
12,Spa & Wellness + Business Lounge,The most comprehensive wellness offering in any residential building in the market,"SPA: Private & couples treatment rooms | Beauty salon (hair, manicure, pedicure) | Steam room & infrared sauna | Salt tepidarium | Vitality pools | Cold plunge | Experience showers | Relaxation zone | Outdoor lounge with daybeds. WELLNESS: State-of-the-art fitness centre | Pilates studio | Indoor & outdoor yoga studios | Hyperbaric chamber | IV therapy | Photobiomodulation machine | Infrared sauna & red light therapy | Juice bar | Men's & women's changing facilities | Two pickleball courts. BUSINESS LOUNGE: Two meeting rooms | Co-working area | Curated light fare station | Printing & technology. Say: 'The hyperbaric chamber, IV therapy, and photobiomodulation — these are cutting-edge longevity and performance features you find at private medical spas, not at residential buildings.'","Do you currently have a gym membership or spa membership somewhere? Imagine having all of that — and more — in your own building."
13,Legendary Service — Service Team & Concierge Services,The MO service infrastructure is what truly separates this from any other building,"RESIDENCE SERVICE TEAM: Director of Residences | Lifestyle Agent | Food & Beverage Manager | 24-hour concierge | 24-hour valet | 24-hour security. CONCIERGE SERVICES: Courier & translation services | Notary | Delivery | Housekeeping | Dog grooming | Property maintenance while travelling | Plant care | Childcare | Travel & airline reservations | Hotel & car rental reservations | Airport & ground transportation | Off-premises restaurant reservations | In-residence spa treatments | Cleaning & alteration services | Private shopping | Activity arrangements | Equipment rentals | Engineering services. Say: 'The Lifestyle Agent is effectively your personal household manager — they anticipate your needs before you ask. This is the Mandarin Oriental service culture, transplanted into your home.'","Do you travel frequently? Would having someone manage your residence while you're away give you peace of mind?"
14,Waterfront Aerial Render — Pool Deck & Private Dock,Visual: the private dock and water's edge experience — this is your backyard,"Let this stunning image sink in. Guide the prospect's eye: 'That's your infinity pool on the left, the sandy beach-inspired edge in the middle, and the private dock extending into the Intracoastal on the right. On a clear day you can see Palm Beach Island directly across the water.' Key emotional point: 'This view is what you wake up to. This is what you come home to.'","Can you see yourself here on a Saturday morning with your coffee? Or a sunset cocktail with friends?"
15,Social Spaces — Poolside Cabanas & Studio Munge Interiors,'Elegant environments where memories and moments are shared',"Quote the copy: 'An intimate dinner with a private chef, a relaxed evening of cinema, a competitive pickleball match or virtual golf game. The expansive and thoughtfully appointed amenities inspire a life of endless discovery.' Key message: 'Studio Munge — the globally acclaimed interiors firm — designed every common space. Every chair, every surface, every material was chosen with intention.' Personalize: 'What would a perfect evening look like for you here?'","Do you entertain often? What's your ideal dinner party or social gathering look like?"
16,Waterway Lifestyle — Boating / Seaplane Image,'With effortless access to the Intracoastal and the open Atlantic beyond…',"Quote the copy: 'From sunlit afternoons cruising to spontaneous departures along the coast, every journey feels seamless and entirely your own. Just a few hours offshore, the Bahamas awaits… By yacht or seaplane, the world's most coveted destinations are always within reach.' Key message: West Palm Beach is not just a residential market — it is a gateway to a world-class nautical lifestyle. The Bahamas is 60-70 miles away. Jupiter Inlet is 25 minutes. Palm Beach Island is directly across the water.","Do you boat, or have you ever thought about getting into boating? Do you have a vessel, or would you use the dock slips?"
17,Location Map — Illustrated Intracoastal / WPB,WPB is perfectly positioned — connected yet private,"Key locations on the map: The Nora District (boutique retail & design experiences) | Rybovich Marina (premier yachting enclave) | CityPlace | Palm Beach International Airport | I-95 access | Palm Beach Island | Peanut Island. Quote the copy: 'West Palm Beach offers a thoughtful blend of coastal ease and city sophistication, with many of the area's most compelling destinations just moments away.' Say: 'The building sits on a rare stretch of direct Intracoastal frontage — in a residential neighborhood, yet steps from everything the area offers.'","How familiar are you with the West Palm Beach area? Have you spent time in The Nora District or around Rybovich Marina?"
18,Aerial Photo — WPB / Intracoastal / Palm Beach,The visual proof of the location — seeing the site in context,"Point out: 'Here you can see the actual building site — right on the Intracoastal, across from Palm Beach Island. You can see The Breakers in the background, Worth Avenue on Palm Beach, the inlet to the right, and Peanut Island.' Key message: 'No matter how many times you fly into Palm Beach, once you're at Mandarin Oriental Residences, you are at the epicenter of everything this market has to offer — without being in the middle of it.'","Have you seen the site in person? I'd love to take you there — the scale of the frontage is truly striking in person."
19,Waterways & Marinas Map,'The world's most coveted destinations are always within reach',"Marinas within minutes: Cove at Icon Marina — 0.6 miles / 3 min | Safe Harbor Rybovich — 0.8 miles / 4 min | Palm Beach Yacht Club — 2.8 miles / 8 min | Sailfish Marina Tiki Bar — 3.4 miles / 11 min | Town of Palm Beach Marina — 4.8 miles / 17 min. Destinations: Peanut Island — 1.4 miles / 6 min | Jupiter Inlet & Sandbar — 15 miles / 25-30 min | Lake Boca Raton — 25 miles / 30-35 min | The Bahamas — 60-70 miles / 2-3 hr ferry or 30 min flight | The Keys — ~140 miles / 2.5 hrs by car. Say: 'If you have a boat or plan to get one, you couldn't be better positioned. If you love fishing or just cruising — this is your dream location.'","Have you used a marina or dock slip before? Do you have a preferred club or marina in the area?"
20,Lifestyle Image — Seaplane on Turquoise Water,Aspirational lifestyle: the freedom that comes with this address,"Use this image as an emotional anchor. Say: 'This is the life this address unlocks. By seaplane, the Bahamas is 30 minutes. By yacht, you can be anchored in crystal-clear water before sunset. This isn't just a home — it's the key to a lifestyle most people only dream about.' Pause. Let the image do the work.","What does your ideal weekend look like? Where would you go if you could go anywhere from your dock?"
21,On The Water Activities — Bahamas / Sailing / Paddle Board / Sport Fishing,Active, experiential water lifestyle — something for everyone,"Highlight the breadth of activities: Bahamas yachting | Sailing | Paddle boarding | Sport fishing. Key message: 'Whether you're an experienced sailor, a weekend angler, or just love being on the water, this location puts world-class water activities at your fingertips — without any planning friction.' Tie back to amenity: 'And on the days you don't want to go out, the private waterfront pool and beach area are right outside your door.'","Which of these activities appeal most to you? Do you already participate in any of them?"
22,Golf Clubs — PGA National / Panther National / The Breakers Palm Beach,West Palm Beach is a world-class golf destination — right next door,"Three landmark clubs, all accessible: PGA National Golf Club — home of the Honda Classic | Panther National Golf Club — ultra-exclusive, Tiger Woods–designed, Jack Nicklaus course | The Breakers Palm Beach — iconic resort golf on Palm Beach Island. Key message: 'For the golfer in the family, few addresses in Florida put you this close to three genuinely elite courses.' Note: The building also features an indoor golf simulator for year-round practice.","Do you play golf? Have you played any of these courses before?"
23,A Visionary Team — Great Gulf (Developer),'Over five decades shaping places defined by thoughtful design and enduring quality',"Introduce Great Gulf: 'Great Gulf Group was established in 1975 — that's 50+ years of delivering landmark residential and mixed-use projects across Canada and the United States.' Key credentials: Integrated development, construction management, and advanced building technology | Landmark projects with Frank Gehry and Moshe Safdie | A track record of delivering at the highest level. Say: 'When you invest at this price point, the developer's track record matters enormously. Great Gulf has delivered at scale and never compromised on quality.'","Have you purchased pre-construction before? What's been your experience with the development and delivery process?"
24,Mandarin Oriental — Brand Story,MO is the operator — and that name changes everything,"Quote the copy: 'Mandarin Oriental is the award-winning owner and operator of some of the world's most luxurious hotels, resorts and residences. Driven by a passion for the exceptional, every day, everywhere.' Key points: MO has a 60+ year legacy in luxury hospitality | Their properties are benchmarks for service in every city they're in | Their fan — the iconic logo — represents the 'Essence of the Destination' | MO branded residences carry a proven premium in resale value globally. Say: 'When a buyer sees 'Mandarin Oriental' on a deed, they know exactly what they're getting — and so does every future buyer you'll ever sell to.'","Have you stayed at a Mandarin Oriental property? Which one? What did you love about the experience?"
25,Masters of Design — Safdie Architects,Moshe Safdie is one of the greatest living architects in the world,"Introduce Safdie Architects: 'Safdie Architects is an internationally recognized firm known for its human-centered, transformative urban design — focused on light, nature, and community.' Notable works pictured: Marina Bay Sands (Singapore) | Jewel Changi Airport (Singapore). Moshe Safdie quote: 'When architecture represents the essence of the place where it is built, it resonates with people in a way that is long lasting and profound.' Key message: 'The curvilinear form of this tower — with its expansive terraces and sweeping water views — is a direct expression of Safdie's philosophy. Architecture this intentional does not age.'","Have you seen any of Safdie's other work? How does the building's design compare to other towers you've seen in South Florida?"
26,Masters of Design — Studio Munge (Interiors),World-class interiors that create environments you never want to leave,"Introduce Studio Munge: 'Studio Munge is a multidisciplinary design studio with 20+ years of experience — led by Alessandro Munge. They work across architecture, interiors, landscapes, and bespoke furnishings.' Notable project pictured: Nobu Hotel and Residences — Toronto, Canada. Alessandro Munge quote: 'Whatever we are designing — whether a hotel, a restaurant or a home — we like to pull people away from the noise and escape to an entirely different place.' Key message: 'Every lobby, corridor, amenity space, and residence interior has been designed to feel immersive, emotionally engaging, and deeply considered.'","When you walk into a space and it just feels right, what does that feel like? What does 'home' look like to you aesthetically?"
27,Masters of Design — ENEA (Landscape Architecture),The grounds are as carefully designed as the building itself,"Introduce ENEA: 'ENEA is an internationally renowned, award-winning landscape architecture practice founded by Enzo Enea — with offices in Zurich, Milan, New York, and Miami.' Notable project pictured: Calabash, Jumby Bay Island — Antigua. Enzo Enea quote: 'A landscape is never finished, it is an ongoing dialogue between time, matter and human presence.' Key message: 'The layered tropical gardens, shaded walkways, private terraces, and natural thresholds you saw earlier — every inch of the grounds reflects decades of expertise in creating sustainable, beautiful, place-defining landscapes.'","When you walk through the grounds of a luxury property, what makes it feel special to you?"
28,"Residence 01-L Floor Plan (Floors 5–18, 3BR+Den, 4 Bath, 3,297 SF indoor / 775 SF outdoor)",Walk through the floor plan — highlight livability and flow,"Key specs: 3 Bedroom + Den | 4 Bath | 3,297 SF indoor (306 m²) | 775 SF outdoor terrace | Floors 5 to 18 | Position: Unit 1 (prime Intracoastal-facing). Highlight on the plan: Private elevator foyer entry | Great room opening to the terrace | Dedicated laundry room | Family room/den with powder room | Walk-in closets throughout | Primary bedroom suite with ensuite | Kitchen open to dining and great room. Optional layouts available: Infrared sauna in primary ensuite | Larger walk-in closet in primary bedroom | Make-up vanity in primary ensuite. Say: 'At over 3,200 square feet, this feels like a real home — not a condo. The layout is designed for how people actually live.'","How many bedrooms are you considering? Do you need space for a home office, guest quarters, or family visiting?"
29,"Residence 02 Floor Plan (Floors 5–25, 3BR+Den, 3.5 Bath, 3,235 SF indoor / 775–984 SF outdoor)",,"Key specs: 3 Bedroom + Den | 3.5 Bath | 3,235 SF indoor (300 m²) | 775–984 SF outdoor | Floors 5 to 25 | Position: Unit 2. Highlight on the plan: Walk-in pantry | Family room/den | Two outdoor terraces | Great room with sweeping views. Optional layouts: Dining room configuration | Infrared sauna in primary ensuite | Larger walk-in closet. Say: 'Floors 5 through 25 gives you tremendous range — as you go up, the views expand dramatically across the Intracoastal toward Palm Beach Island.'","Do you prefer a lower or higher floor? Do you lean toward a sunrise or sunset view?"
30,"Residence 03 Floor Plan (Floors 6–25, 2BR, 2.5 Bath, 2,151 SF indoor / 540–680 SF outdoor)",,"Key specs: 2 Bedroom | 2.5 Bath | 2,151 SF indoor (200 m²) | 540–680 SF outdoor | Floors 6 to 25 | Position: Unit 3. Highlight on the plan: Two outdoor terraces | Open great room and dining area | Primary suite with walk-in closet and ensuite | Dedicated laundry | Entrance foyer with elevator. Say: 'Residence 03 is an ideal lock-and-leave home — refined, easy to manage, and still commanding generous outdoor terrace space with the full Mandarin Oriental service platform at your fingertips.'","Is this a primary residence, a seasonal home, or an investment? How often do you plan to be here?"
31,"Residence 04-L Floor Plan (Floors 6–18, 3BR+Den, 3.5 Bath, 2,886 SF indoor / 540 SF outdoor)",,"Key specs: 3 Bedroom + Den | 3.5 Bath | 2,886 SF indoor (268 m²) | 540 SF outdoor | Floors 6 to 18 | Position: Unit 4. Highlight on the plan: Private office included in layout | Dedicated laundry room | Walk-in closets | Two terraces | Primary suite with ensuite and walk-in closet. Say: 'The private office in this layout makes Residence 04-L particularly compelling for executives or entrepreneurs who work from home — it's a proper, dedicated space that's physically separated from the living areas.'","Do you work from home regularly? Would a private office within the residence be important to you?"
32,"Residence 01-U Floor Plan (Floors 19–25, 4BR+Den, 5 Bath, 3,714 SF indoor / 775–984 SF outdoor)",Upper-floor living: the most spacious layouts with highest elevation views,"Key specs: 4 Bedroom + Den | 5 Bath | 3,714 SF indoor (345 m²) | 775–984 SF outdoor | Floors 19 to 25 | Position: Unit 1 (prime Intracoastal-facing). Highlight on the plan: Family room/den with powder room | Four bedrooms — ideal for families | Great room and kitchen flowing to terrace | Two terraces (including floor-to-terrace access). Optional layouts: Private dining room | Infrared sauna | Larger walk-in closet | Make-up vanity. Say: 'This is the most expansive floor plan in the building — nearly 3,700 square feet, with five bathrooms, on the highest residential floors. The views from floors 19 to 25 are absolutely unobstructed — straight across to Palm Beach Island and south toward Miami.'","Do you have family that would visit frequently? How important is it to have room for everyone to be comfortable?"
33,"Residence 04-U Floor Plan (Floors 19–25, 2BR+Den, 2.5 Bath, 2,471 SF indoor / 540–680 SF outdoor)",Upper-floor intimate living — views without the footprint,"Key specs: 2 Bedroom + Den | 2.5 Bath | 2,471 SF indoor (229 m²) | 540–680 SF outdoor | Floors 19 to 25 | Position: Unit 4. Highlight on the plan: Dedicated exercise room | Two terraces | Den for home office or flex use | Primary suite with walk-in closet and ensuite. Say: 'The built-in exercise room is a unique feature — your own private gym within the residence, in addition to everything available on the rooftop and lobby levels.'","Do you maintain a home gym? Would having a dedicated exercise space within the unit appeal to you?"
34,Amenity Floor Plans Title Slide — Level 01-03,Section transition: showcase the depth of the amenity program,"Use this as a natural pause. Say: 'What I'm about to show you is the full scope of the amenity programming across three levels of the podium — this is what makes the building truly extraordinary.' Set expectations: 'Very few residential buildings anywhere in the world have this breadth and depth of programming.'",
35,Amenity Floor Plans — Level 01 / 02 / 03 (Detailed Plans),The podium is a resort unto itself — three stacked levels of programming,"Walk through the three levels visible: Level 01: Beach-inspired pool terrace and waterfront areas | Level 02: Primary indoor amenity programming — social lounge, entertainment, spa | Level 03: Upper amenity and wellness spaces with Intracoastal views (Option 1 shown). Key point: 'The scale of this podium is rare in the market. This isn't a single amenity floor — it's a multi-level resort experience that residents can move through every day.'",Have you toured the sales gallery or the site yet? Seeing this in person is a very different experience than the plan.
36,Amenity Floor Plan — Parking Level Detail,Practical: every resident has dedicated self-parking — a true rarity,"Highlight: Every residence has allocated self-parking space(s) | Valet also available as an additional service | EV charging infrastructure | Private storage lockers. Say: 'Parking is one of the most underappreciated features of a luxury condo. Here, you're not fighting for a spot — you have your own dedicated space, plus valet service whenever you prefer.'","Do you drive one car or two? Do you have a preference between self-park and valet?"
37,Amenity Floor Plan — Level with Pickleball Courts,The full scope of active amenities — including pickleball,"This level includes: Two pickleball courts visible on this plan | Additional parking and circulation. Say: 'Pickleball continues to be one of the fastest-growing sports in this demographic. Having two dedicated courts in the building means you never have to drive to a club — your game is always ready.' Tie back to rooftop fitness centre and lobby-level golf simulator.",Do you play pickleball? Tennis? Are competitive or recreational sports part of your lifestyle?
38,Amenity Floor Plan — Detailed Lobby / Spa Level,The spa and wellness zone in architectural detail,"Walk through the layout: Spa treatment rooms on the left wing | Fitness and wellness on the right | Central corridor connecting to the outdoor amenity areas | Social lounge and private dining visible. Say: 'What's remarkable about this plan is the intentionality — each zone has its own energy and purpose. The spa side is quiet and restorative. The social side is lively and connected. You move between them effortlessly.'",
39,Amenity Floor Plans Title Slide — Rooftop Deck,Section transition: the rooftop is a signature feature,"Build anticipation: 'On top of everything you've just seen at the waterfront and podium levels, there is a full rooftop experience. This is something truly special.'",
40,Rooftop Deck Floor Plan,The rooftop: panoramic views in every direction — pool, wellness, bar,"Rooftop features: Rooftop pool with water daybeds and cabanas | Rooftop wellness centre | Rooftop fitness centre | Rooftop service bar | Views in all directions — ocean, Intracoastal, city skyline. Say: 'On the rooftop, you're above the canopy of West Palm Beach with unobstructed 360-degree views. Sunrise on one side, sunset on the other. This is your private sky club.'","Can you picture yourself up there on a Sunday morning? Or hosting friends for a sunset cocktail?"
41,Meet the Team — Sales Team & Leadership,Introduce the humans behind the brand — trust and credibility,"SALES DIRECTOR: Arno De Vos | 305-432-1479. IN-HOUSE SALES EXECUTIVES: Julie Harron (Team Lead) — 312.953.6408 | Susana Gil (Team Lead) — 561.281.3233 | Chad Monakee — 561.301.7530 | Joy Kairalla — 561.719.1929. MANAGERS: Michelle Kubala (Julie Harron Team) | Carlos Contreras (Susana Gil Team). LEADERSHIP (Cervera Real Estate): Alicia Cervera Lamadrid — Managing Partner & Principal | Jesse Ottley — President of Development Sales & Marketing | Alicia Lamadrid Paysse — VP of Development Sales. Say: 'You'll have a dedicated point of contact throughout this entire process — from your first visit to closing and beyond. We're here to make this seamless for you.'","Who else is involved in this decision — a spouse, partner, family advisor, or attorney? I'd love to meet with everyone together."
42,Legal Disclaimers / Developer & Sales Team Credits,Close with professionalism — reinforce credibility and next steps,"Developer: Great Gulf | Exclusive Sales Team: Cervera Real Estate (est. 1969). Key points to mention: 'All renderings and floor plans are artist's concepts — square footage is approximate. Prices and availability are subject to change — always check with us for current pricing.' Website: mo-residenceswestpalmbeach.com. IMPORTANT REMINDER to sales team: Do NOT make specific pricing promises that aren't confirmed. Refer all legal, financial, and title questions to appropriate counsel. The Mandarin Oriental brand is licensed — not an ownership position by MOHG.","Do you have any questions about the legal or financial structure of the purchase? We can connect you with our recommended legal and financial professionals."
43,Closing Slide — Mandarin Oriental The Residences West Palm Beach Logo,End where you began — reinforce the brand and the opportunity,"Circle back to where you started. Say: 'We started with this logo, and I want to end there too. There are 87 opportunities to own at Mandarin Oriental Residences, West Palm Beach. Some are already spoken for. The window to secure the right residence at the right floor — at today's pricing — is closing.' Suggested close: 'Based on everything we've discussed today, which residence feels like the right fit for you? I'd love to schedule a tour of the sales gallery and talk through next steps.' Leave behind: Brochure, floor plan for their preferred residence, business card, pricing summary (if approved).","What questions do you still have? And what would it take for you to move forward?"
